"Month,Date",Temperature (F),Dew Point (F),Humidity (%),Wind Speed (mph),Pressure (in),Precipitation (in)
"01,01",51.6,43.1,74.7,15.4,29.8,1.39
"01,02",37.8,22.6,54.4,8.9,30.2,0
"01,03",42,30.6,65.2,10.7,29.9,0
"01,04",41.9,27.7,57.6,10,29.9,0
"01,05",44,40.7,88.3,13.1,29.5,0.23
"01,06",43.5,27.8,55,16.9,29.9,0.22
"01,07",29.7,7.9,40.7,11,30.4,0
"01,08",42,37.5,84.3,6.1,29.9,0.07
"01,09",43.2,28.8,59.4,18.4,29.6,0.21
"01,10",33.4,17.5,52.4,22.5,29.7,0
"01,11",27.1,8.5,46.3,20.2,30.2,0
"01,12",27.5,6.9,42.5,8.4,30.5,0
"01,13",29.5,10.9,46.4,10.9,30.4,0
"01,14",27.6,12.8,55,12,30.2,0
"01,15",30.5,13.4,49.3,7,30.1,0
"01,16",35.1,20.2,55.1,11.3,30.1,0
"01,17",30,9.4,42.6,9.5,30.3,0
"01,18",33.7,28.1,80.6,7.2,30.1,0.03
"01,19",35.6,24,63.5,9.3,30.1,0
"01,20",34.1,30,85.7,17.2,29.5,1.14
"01,21",11.7,-1.9,55,26.8,30,0.2
"01,22",22.1,1.5,42.9,11.9,30.6,0
"01,23",36.5,19.6,52,9.2,30.3,0
"01,24",50.4,46.1,85.5,15.6,29.5,0.08
"01,25",35.8,14.2,42.9,15.7,29.9,1.4
"01,26",29.9,4.3,34.2,10,30.2,0
"01,27",39.5,24.2,56.4,10.4,30,0
"01,28",30.4,10.8,44.6,9.6,30,0
"01,29",34.6,26.3,72.1,9.4,29.9,0
"01,30",26.1,11.6,56.8,20.4,29.9,0.27
"01,31",9.9,-12.4,36.4,15.3,30.3,0
"02,01",17,-6.6,35.1,9.4,30.4,0
"02,02",25.6,6.2,44.3,10.4,30.2,0
"02,03",40,26.9,60.1,5.6,30.1,0
"02,04",46.4,33,60.6,5.4,30,0
"02,05",50.4,38.7,66.8,4.9,29.9,0
"02,06",40.6,30.1,66.8,10.7,30.1,0
"02,07",41.1,38.1,89.2,10.3,30.1,0.56
"02,08",43.6,35.1,76.9,10.2,29.9,0.33
"02,09",29.1,7.8,40.9,22.2,30.5,0.07
"02,10",29.7,9,43,9.8,30.6,0
"02,11",34.2,16.8,50,6.8,30.3,0
"02,12",30.3,22.8,76.6,14.8,30.2,0
"02,13",36.3,28,74.8,14.6,29.6,0.76
"02,14",38.3,18.5,45.9,12.5,30,0
"02,15",47.1,37.6,69.5,8.6,29.8,0
"02,16",39.8,20,45.5,15.4,29.8,0
"02,17",31.9,15.4,51.3,9.4,30.1,0
"02,18",34.5,28.6,80.5,12,29.9,0.13
"02,19",29.1,9.6,45.2,13.8,30.5,0.01
"02,20",28.3,19.1,71.6,8.3,30.4,0
"02,21",38.8,32.1,79.5,9.1,29.9,0.73
"02,22",40.5,22.8,49.4,13.4,30.3,0
"02,23",36,23.7,61.2,7.9,30.4,0
"02,24",40.3,37.2,89.8,12.4,29.7,0.51
"02,25",38.8,12.5,34.5,27.6,29.7,0.22
"02,26",29.5,7.7,40.2,17.7,30.3,0
"02,27",25.8,9,49.6,10.4,30.3,0
"02,28",29.8,18.9,66.8,10,30.1,0.03
"03,01",29.7,23.5,78.6,11.1,30.3,0.09
"03,02",34.3,28.9,81.3,10.1,30.1,0.41
"03,03",36.4,27.1,71.2,8.3,28.1,0.05
"03,04",34.3,24.8,71,14.3,22.3,0.84
"03,05",26.9,6.5,42.5,13.4,30,0
"03,06",23.2,3.8,44.2,16.8,30.1,0
"03,07",25.2,5.5,43.1,13.1,30.3,0
"03,08",31.3,13.7,48.5,6.3,30.3,0
